Nº CASO DE TESTE;DESCRIÇÃO DA TAREFA;PASSOS A SEREM EXECUTADOS;RESULTADO ESPERADO;STATUS;ANOTAÇÕES
VALIDAÇÃO 1: Acesso ao portal Infojobs;;;;;
CT01;Verificar se o usuário consegue acessar corretamente o link URL portal InfoJobs;"Dado que o usuário está na página inicial do navegador Quando ele acessa oo link ""https://www.infojobs.com.br""                                            Então a página do Infojobs deve ser carregada                                   E o usuário deve visualizar o título da página ""Infojobs - O site de busca de emprego mais usadoo no Brasil""                                     E o usuário deve visualizar a área de busca de vagas na página inicial";O usuário deve visualizar corretamente a página principal do Portal de Vagas Infojobs;PASSOU;
CT02;Validar busca de vaga na tela inicial;"Dado que o usuário está na tela inicial do Infojobs            Quando ele preenche no campo de busca com o cargo ""QA Engineer""                                                                                                     Então preenche o campo cidade ""Manaus""                                          E clico no botão 'Achar Vagas'                                                                       E o usuário é redirencionado para tela contendo lista de vagas relacionados a pesquisa";O sistema deve retornar uma lista contendo o cargo e a localização desejada pelo usuário;PASSOU;
CT03;Validar busca de vaga na tela inicial com campos vazios;"Dado que o usuário está na tela inicial do Infojobs            Quando eu deixo em branco o campo de pesquisa Cargo e Localização                                                                                                Então clico no botão 'Achar Vags'                                                                       E o sistema exibe para o usuário a mensagem - ""Você deve preencher pelo menos um dos campos acima para poder buscar vagas""";"O sistema não deve retornar nenhum dado e apresentar mensagem - "" ""Você deve preencher pelo menos um dos campos acima para poder buscar vagas""";PASSOU;
VALIDAÇÃO 2: Cadastrar CV - Tela cadastro de usuário;;;;;
CT01;Verificar se o usuário consegue se cadastrar com dados válidos;"Dado que o usuário acessa a página inicial do portal Infojobs Quando ele clica no botão ""Cadastrar CV ""                                     Então o site é redirecionado para a tela de formulário                    E o usuário insere os dados: Nome e Sobrenome E-mail Senha CEP Cargo desejado E seleciona o check bix de Condições Legaus e a Política de Privacidade                                                            E clica no botão ""Cadastre-se""";O sistema deve permitir que o usuário realize o cadastro com sucesso ao inserir informações válidas;PASSOU;
CT02;Verificar comportamento do sistema quando não preencho o campo Nome;"Dado que o usuário está na tela de cadastro do currículo Quando preenche os campos dos formulários:                      *Nome e sobrenome: ""               ""                                                              *E-mail: "" erika.kmoreno@gmail.com""                                                                                                         *Senha: ""Banana123@""                                                                         *CEP: ""99.999-99""                                                                                    *Cargo Desejado: ""QA Engineer""                                                                Então o usuário seleciona o check box dos termos de Condições Legais e a Política de Privavidade                                      E clica no botão Cadastre-se                                                                         E o sistema exibe mensagem abaixo do campo Nome e sobrenome - ""O nome e sobrenome é obrigatório""                                                                              Fluxo encerra";O sistema deve exiber mensagem que o campo Nome e sobrenome é obrigatório e não permite que o cadastro seja salvo;PASSOU;[MELHORIA] - O sistema exibe apenas sobrenome quando deixa o campo em branco,  porém ao inserir somente o primeiro nome a mensagem apresentada condiz com a mensagem apresentada
CT03;Verificar o comportamento do sistema quando o campo e-mail está vazio;"Dado que o usuário está na tela de cadastro do currículo Quando preenche os campos dos formulários:                      *Nome e sobrenome: ""Érika Moreno""                                                 *E-mail: ""                                      ""                                                                                                         *Senha: ""Banana123@""                                                                         *CEP: 99.999-99                                                                                    *Cargo Desejado: ""QA Engineer""                                                                Então o usuário seleciona o check box dos termos de Condições Legais e a Política de Privavidade                                      E clica no botão Cadastre-se                                                                         E o sistema exibe mensagem abaixo do campo e-mail -             ""O e-mail é obrigatório""                                                                              Fluxo encerra";O sistema deve exiber mensagem que o campo E-mail e é obrigatório e não permite que o cadastro seja salvo;PASSOU;
CT04;Verificar o comportamento do sistema quando o campo senha está vazio;"Dado que o usuário está na tela de cadastro do currículo Quando preenche os campos dos formulários:                      *Nome e sobrenome: ""Érika Moreno""                                                 *E-mail: ""erika.kmoreno@gmail.com""                                                                                                         *Senha: ""                           ""                                                                         *CEP: ""99.999-99""                                                                                    *Cargo Desejado: ""QA Engineer""                                                                Então o usuário seleciona o check box dos termos de Condições Legais e a Política de Privavidade                                      E clica no botão Cadastre-se                                                                         E o sistema exibe mensagem abaixo do campo senha -               ""A senha é obrigatória""                                                                                  Fluxo encerra";O sistema deve exiber mensagem que o campo Senha é obrigatória e não permite que o cadastro seja salvo;PASSOU;
CT04;Verificar o comportamento do sistema quando o campo CEP está vazio;"Dado que o usuário está na tela de cadastro do currículo Quando preenche os campos dos formulários:                      *Nome e sobrenome: ""Érika Moreno""                                                 *E-mail: ""erika.kmoreno@gmail.com""                                                                                                         *Senha: ""Banana123@ ""                                                                         *CEP: ""                      ""                                                                                   *Cargo Desejado: ""QA Engineer""                                                                Então o usuário seleciona o check box dos termos de Condições Legais e a Política de Privavidade                                      E clica no botão Cadastre-se                                                                         E o sistema exibe mensagem abaixo do campo CEP -               ""AO CEP  é obrigatório""                                                                                  Fluxo encerra";O sistema deve exiber mensagem que o campo CEP é obrigatório e não permite que o cadastro seja salvo;PASSOU;
CT05;Verificar o comportamento do sistema quando o campo e-mail está inválido;"Dado que o usuário está na tela de cadastro do currículo Quando preenche os campos dos formulários:                      *Nome e sobrenome: ""Érika Moreno""                                                 *E-mail: ""erika.kmoreno@gmail,com""                                                                                                                                                                          E o sistema exibe mensagem abaixo do campo e-mail -             ""E-mail inválido""                                                                                                Fluxo encerra";O sistema deve exiber mensagem que o e-mail inserido está no formato inválido e não permite que o cadastro seja salvo;PASSOU;
CT06;Verificar o comportamento do sistema quando o e-mail informado ja possui cadastro;"Dado que o usuário está na tela de cadastro do currículo Quando preenche os campos dos formulários:                         Então insere no campo*Nome e sobrenome: ""Érika Moreno""                                                 E no campo *E-mail: ""erika_gferreira@hotmail.com""                                                                                                                                                      E o sistema exibe a mensagem - ""Detectamos que você já está cadastrado. Fazer Login aqui""                                                                                                Fluxo encerra";O sistema deve exiber mensagem que o e-mail inserido já possui cadastro  ;PASSOU;
CT07;Verificar o comportamento do sistema quando o campo cargo está vazio;"Dado que o usuário está na tela de cadastro do currículo Quando preenche os campos dos formulários:                      *Nome e sobrenome: ""Érika Moreno""                                                 *E-mail: ""erika.kmoreno@gmail.com""                                                                                                         *Senha: ""Banana123@ ""                                                                         *CEP: "" 99.999-99""                                                                                   *Cargo Desejado: ""                ""                                                                Então o usuário seleciona o check box dos termos de Condições Legais e a Política de Privavidade                                      E clica no botão Cadastre-se                                                                         E o sistema exibe mensagem abaixo do campo Cargo Desejado - ""O cargo é obrigatório""                                                                                  Fluxo encerra";O sistema deve exiber mensagem que o campo cargo é obrigatório e  não permite que o cadastro seja salvo;PASSOU;
CT08;Verificar o comportamento do sistema quando os campos obrigatórios estão vazios;Dado que o usuário está na tela de cadastro do currículo Quando ele deixa os campos obrigatórios do formulário vázios                       Então não seleciona o check box dos termos de Condições Legais e Política de Privacidade                                                                                                                  E clica no botão Cadastre-se                                                                         E o sistema exibe mensagem que os campos são obrigatórios                                                                   Fluxo encerra;O sistema deve exiber mensagem que os campos do formulário são obrigatórios;PASSOU;
CT09;Validar a quantidade de caracteres no campo senha;"Dado que o usuário está na tela de cadastro do currículo Quando preenche os campos dos formulários:                      *Nome e sobrenome: ""Érika Moreno""                                                 *E-mail: ""erika.kmoreno@gmail.com""                                                                                                         *Senha: ""123@ ""                                                                                                          E o sistema exibe mensagem abaixo do campo senha - ""Senha inválida. Deve ter de 8 a 50 carcateres.""                                                                                  Fluxo encerra";O sistema deve exibir mensagem informando que a senha inserida deve obedecer a quantiade de carascteres estabelecidos;PASSOU;
CT10;Verificar o comportamento do sistema quando o formulário é submetido sem selecionar o check box dos termos de Condições Legais e Política de Privacidade;"Dado que o usuário está na tela de cadastro do currículo Quando preenche os campos dos formulários:                      *Nome e sobrenome: ""Érika Moreno""                                                 *E-mail: ""erika.kmoreno@gmail.com""                                                                                                         *Senha: ""Banana123@ ""                                                                         *CEP: "" 99.999-99""                                                                                   *Cargo Desejado: "" QA Engineer""                                                                Então o usuário não seleciona o check box dos termos de Condições Legais e a Política de Privavidade                                      E clica no botão Cadastre-se                                                                         E o sistema exibe mensagem  - ""Para cadastrar-se é obrigatório ter aceito as Condições Legais e a Política de Privacidade""                                                                                  Fluxo encerra";O sistema deve exibir mensagem que é obrigatório seleciona o campo de aceite dos termos e não permite que o cadastro seja realizado;PASSOU;
CT11;Verificar se o usuário consegue visualizar os temos de Condições Legais e Política de Privacidade;Dado que o usuário está na tela de cadastro do currículo Quando visualiza abaixo do formulário link para leitura do termos de Condições Legais e Política de Privacidadse        Então o usuário clica no link                                                                        E o sistema exibe em outra aba o documento para leitura     Fluxo encerra;O sistema deve abrir o documento de aceite para o usuário corretamente;PASSOU;
VALIDAÇÃO 3: Login - Tela login de usuário;;;;;
CT01;Verificar se o usuário realizar login com e-mail e senha válidos;"Dado que o usuário acessa a página inicial do portal Infojobs Quando ele clica no menu ""Login""                                                   Então o site é redirecionado para a tela de formulário                    E o usuário digita -email válido ""erika.kmoreno@gmail.com""                   E o usuário clica no botão Continuar                                                       E o sistema exibe formulário para inserir senha                                 E o usuário clica no botão Acessar                                                           E o sistema redireciona o usuário para a tela Minha área      Fluxo encerra";O sistema deve permitir login com dados de e-mail e senha válidos e redireciona o usuário para a tela Minha área;PASSOU;
CT02;Verificar o comportamento do sistema ao informar e-mail inválido;"Dado que o usuário acessa a página inicial do portal Infojobs Quando ele clica no menu ""Login""                                                   Então o site é redirecionado para a tela de formulário                    E o usuário digita -email inválido ""erika.kmoreno@gmail,com""                   E o usuário clica no botão Continuar                                                       E o sistema exibe mensagem ""E-mail inválido""                           Fluxo encerra";O sistema deve exibir mensagem ao usuário informando que o senha informando está incorreto;PASSOU;
CT03;Verificar o comportamento do sistema ao informar senha inválida;"Dado que o usuário acessa a página inicial do portal Infojobs Quando ele clica no menu ""Login""                                                   Então o site é redirecionado para a tela de formulário                    E o usuário digita -email válido ""erika.kmoreno@gmail.com""                   E o usuário clica no botão Continuar                                                       E o sistema exibe formulário para inserir senha  inválida ""123@""                                                                                                                   E o usuário clica no botão Acessar                                                           E o sistema exibe mensagem ""Os dados de acesso não estão corretos. Você pode usar a opção 'Esqueceu sua senha?' ou acessar no Gmail ou Hotmail                                                                    Fluxo encerra";O sistema deve exibir mensagem ao usuário informando que a senha inserida está incorreta;PASSOU;
CT04;Validar recuperação de senha;"Dado que o usuário acessa a página inicial do portal Infojobs Quando ele clica no menu ""Login""                                                   Então o site é redirecionado para a tela de formulário                    E o usuário digita -email válido ""erika.kmoreno@gmail.com""                   E o usuário clica no botão Continuar                                                       E o usuário insere senha  inválida ""123@""                                                                                                                   E o usuário clica no botão Acessar                                                           E o sistema exibe mensagem ""Os dados de acessi não estão corretos. Você pode usar a opção 'Esqueceu sua senha?' ou acessar no Gmail ou Hotmail                                                                      E o usuário clica na opção Esqueceu sua senha? E o sistema redireciona o usuário para tela para inserir o e-mail                        E o usuário clica em Enviar Link E o sistema exibe mensagem que o e-mail de recuperação foi enviado                                         Fluxo encerra";O sitema deve permitir que o usuário recupera a senha de acesso e um e-mail de recuperação seja enviado ao e-mail cadastrado com sucesso;PASSOU;
CT05;Verificar o comportamento do sistema ao informar e-mail não cadastrado;"Dado que o usuário acessa a página inicial do portal Infojobs Quando ele clica no menu ""Login""                                                   Então o site é redirecionado para a tela de formulário                    E o usuário digita -email válido ""erika..moreno@hotmail.com""                   E o usuário clica no botão Continuar                                                       E o sistema redireciona o usuário para a tela de cadastro                               Fluxo encerra";O sistema deve redirecionar o usuário para a tela de cadastro;PASSOU;
